mz	rtime	id_number
166.1076	152.44	F1611
166.1076	189.25	F1612
166.1422	101.05	F1619
166.951	163.42	F1620
166.9667	292.44	F1623
166.9886	12.1	F1627
167.0132	296.28	F1629
167.022	194.36	F1630
167.022	202.46	F1631
167.0317	183.9	F1635
167.034	16.69	F1637
167.034	20.07	F1638
167.0429	10.93	F1639
167.0429	72.31	F1640
167.0453	10.93	F1645
167.0487	279.31	F1648
167.0535	23.84	F1650
167.0535	277.78	F1651
136.9403	164.54	F1654
136.9403	175.76	F1655
137.0428	36.69	F1661
167.0555	278.93	F1663
137.046	85.65	F1664
137.046	161.93	F1666
137.0516	95.06	F1667
137.0516	186.53	F1668
167.0566	38.97	F1669
167.0566	46.65	F1670
167.0566	219.66	F1671
167.0566	279.69	F1672
167.0566	280.84	F1673
167.0577	164.92	F1678
167.0577	278.54	F1680
167.0739	18.56	F1683
167.0739	48.95	F1684
167.0739	156.99	F1685
167.0759	99.18	F1686
167.0796	158.53	F1690
167.0796	228.9	F1692
167.0835	146.34	F1696
167.0874	160.82	F1702
167.0874	175.76	F1703
167.0898	146.34	F1704
167.0898	195.9	F1705
167.0898	223.54	F1706
167.093	35.95	F1707
167.093	48.95	F1708
167.1042	213.1	F1714
137.0711	20.44	F1715
137.0711	159.68	F1716
137.0728	164.54	F1719
167.1378	17.82	F1722
167.1378	139.72	F1725
137.0792	131.2	F1726
137.0792	149.4	F1727
137.0792	164.54	F1728
137.0792	178.43	F1729
137.1326	21.57	F1739
137.9437	164.54	F1741
137.9836	231.95	F1742
138.043	85.65	F1746
138.0489	85.65	F1748
138.0489	161.56	F1749
138.0527	175.76	F1751
138.0527	186.53	F1752
138.0527	208.11	F1753
138.0533	207.37	F1756
138.0551	133.16	F1757
138.0551	166.06	F1758
138.0583	256.96	F1761
138.0683	20.44	F1765
138.0683	159.3	F1767
109.8796	93.19	F1769
138.0745	20.44	F1770
138.0745	159.68	F1771
138.0764	164.17	F1772
167.9287	164.17	F1773
167.9646	292.44	F1775
138.089	179.2	F1777
138.0999	131.2	F1778
167.9722	5.95	F1779
167.9722	8.25	F1780
167.9749	76.52	F1784
138.1109	101.43	F1786
167.9866	1.69	F1787
168.0351	183.9	F1791
168.0457	279.69	F1796
168.0492	219.66	F1797
168.0492	222.37	F1798
168.0521	28.78	F1799
168.0521	278.54	F1800
138.9384	164.54	F1803
138.9384	176.9	F1804
138.9444	164.54	F1805
138.9882	34.44	F1806
168.0565	23.84	F1809
168.0598	47.41	F1813
138.9928	102.17	F1814
138.9928	140.12	F1815
84.9114	107.8	F1817
84.9114	168.29	F1818
84.9599	295.14	F1819
84.9954	280.08	F1820
139.0182	138.96	F1821
139.0182	159.3	F1822
139.0182	296.28	F1823
168.0635	149.4	F1824
168.0635	156.22	F1825
168.0635	190.04	F1826
168.0635	216.58	F1828
168.0635	287.02	F1831
139.0213	31.78	F1832
139.0213	158.53	F1833
85.0276	114.92	F1834
85.0276	122.42	F1835
85.0276	137.39	F1836
168.0695	153.2	F1838
85.0285	151.69	F1839
85.0285	184.28	F1840
85.0285	205.13	F1841
168.0738	37.06	F1842
139.0391	13.63	F1843
139.0423	65.41	F1844
139.0423	161.93	F1845
139.0463	84.51	F1846
139.0484	162.31	F1848
139.0504	153.58	F1849
168.0851	20.07	F1851
85.0409	201.69	F1855
139.0525	85.28	F1857
139.0525	132.77	F1858
139.0525	166.43	F1859
85.0416	202.08	F1860
168.0883	74.23	F1861
168.0883	81.86	F1862
168.0883	125.41	F1863
168.0883	136.62	F1864
168.0883	160.82	F1865
168.0892	147.87	F1870
168.0892	160.45	F1871
139.0585	133.16	F1872
139.0585	166.06	F1873
85.0479	54.69	F1874
85.0479	130.81	F1875
85.0479	202.08	F1876
85.0479	218.9	F1877
85.051	79.19	F1879
85.051	126.18	F1880
85.051	201.31	F1881
168.0907	146.73	F1883
168.0907	160.82	F1884
168.0907	196.29	F1885
85.0522	132.37	F1887
85.0522	201.69	F1888
168.0932	145.96	F1889
168.0932	196.67	F1890
85.0649	261.17	F1891
85.078	156.22	F1892
85.078	260.79	F1893
139.0627	18.19	F1894
139.0627	101.05	F1895
85.0843	152.83	F1896
85.0843	156.6	F1897
85.0843	260.79	F1898
139.0727	77.29	F1900
139.0727	101.43	F1901
139.0727	137.39	F1902
86.0059	136.62	F1904
86.0319	137.39	F1905
86.0319	151.31	F1906
86.0319	183.9	F1907
86.0319	201.31	F1908
86.0319	206.25	F1909
86.0487	126.18	F1910
86.0487	202.08	F1911
86.0487	218.9	F1912
86.0514	201.69	F1913
168.0964	35.95	F1914
168.0964	48.95	F1915
168.0964	179.97	F1916
168.0964	197.44	F1917
86.0543	126.18	F1918
168.0995	137.79	F1920
168.0995	199.78	F1921
86.0586	126.18	F1922
86.0602	48.56	F1923
139.0781	20.44	F1924
139.0781	158.53	F1925
168.1579	6.71	F1926
168.1579	26.48	F1927
168.7386	205.87	F1928
86.0714	94.69	F1932
86.0714	186.91	F1933
168.9491	163.79	F1934
86.0957	119.04	F1935
86.0957	161.19	F1936
86.0966	126.57	F1940
86.0966	150.93	F1941
86.9088	168.29	F1942
86.9088	176.52	F1943
87.0266	21.19	F1944
87.0266	161.93	F1945
87.0442	225.83	F1947
169.0357	30.66	F1948
169.0357	184.28	F1949
87.0546	218.9	F1950
87.0554	186.91	F1951
87.0554	218.9	F1952
139.098	48.95	F1954
139.098	155.84	F1955
169.0497	15.55	F1956
87.0635	48.56	F1958
87.0635	192.8	F1959
87.0792	186.91	F1960
87.0936	125.8	F1962
87.0936	150.93	F1963
87.0936	155.47	F1964
169.0532	276.62	F1967
87.0999	126.57	F1968
87.0999	135.84	F1969
87.0999	150.93	F1970
169.0586	156.99	F1972
169.0586	201.69	F1973
169.061	251.55	F1976
169.0673	179.2	F1977
169.0691	19.32	F1978
169.0691	38.59	F1979
169.0691	156.99	F1980
169.0691	217.75	F1981
169.0691	218.51	F1982
139.5483	295.9	F1983
169.0722	21.96	F1985
169.0722	188.48	F1986
169.0763	18.56	F1987
169.0763	100.68	F1988
139.9149	7.48	F1989
139.9149	42.04	F1992
139.9149	142.48	F1994
139.9149	164.17	F1995
139.9418	164.54	F1996
169.0834	43.57	F1997
169.0834	149.4	F1998
169.0846	149.78	F2002
140.0009	26.86	F2010
140.0009	32.16	F2011
140.0009	47.8	F2012
169.0923	56.59	F2014
